54,"{'subject': 'References', 'relation': 'include', 'object': 'abAnthony Traill, "The Khoisan Languages of South Africa", in Rajend Mesthrie, ed., 1995, Language and Social History: Studies in South African Sociolinguistics'}"
55,"{'subject': 'CD Single', 'relation': 'include', 'object': '- 4:33'}"
56,"{'subject': 'CD Single', 'relation': 'include', 'object': '- 4:33'}"
57,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"The Ballad of the Three Amigos"'}"
58,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Main Title"'}"
59,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"The Big Sneak"'}"
60,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"My Little Buttercup"'}"
61,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Santo Poco"'}"
62,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Fiesta and Flamenco"'}"
63,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"El Guapo"'}"
64,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"The Return of the Amigos"'}"
65,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Blue Shadows on the Trail"'}"
66,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"The Singing Bush"'}"
67,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Amigos at the Mission"'}"
68,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Capture"'}"
69,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"El Guapo\'s Birthday"'}"
70,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"The Chase”'}"
71,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Amigos, Amigos, Amigos"'}"
72,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"Farewell"'}"
73,"{'subject': 'Elmer Bernstein', 'relation': 'wrote', 'object': '"End Credits"'}"
74,"{'subject': 'Track listing', 'relation': 'include', 'object': '"C\'mon"'}"
75,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Gas on Skin"'}"
76,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Hardest Way Possible"'}"
77,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Crash Landing"'}"
78,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Smoke"'}"
79,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Baby Blue"'}"
80,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Revolution AM"'}"
81,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Sector Z"'}"
82,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Combustible"'}"
83,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Valentine\'s Day Massacre"'}"
84,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Hit Man"'}"
85,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Check"'}"
86,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Boys and Girls"'}"
87,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Beekeeper"'}"
88,"{'subject': 'Track listing', 'relation': 'include', 'object': '"Man Without a Mouth"'}"
89,"{'subject': 'Track listing', 'relation': 'Says', 'object': '2:08'}"
90,"{'subject': 'Track listing', 'relation': 'include', 'object': '– 2:50'}"
91,"{'subject': 'Track listing', 'relation': 'include', 'object': '– 4:14'}"
92,"{'subject': 'Notes', 'relation': 'is', 'object': 'version'}"
93,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefghiPiranha Press.'}"
94,"{'subject': 'References', 'relation': 'include', 'object': 'Page 8.'}"
95,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefghImpact Comics.'}"
96,"{'subject': 'References', 'relation': 'include', 'object': 'Page 6.'}"
97,"{'subject': 'References', 'relation': 'include', 'object': 'abcMilestone.'}"
98,"{'subject': 'References', 'relation': 'include', 'object': 'Page 4.'}"
99,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefgHelix.'}"
100,"{'subject': 'References', 'relation': 'include', 'object': 'Page 5.'}"
101,"{'subject': 'References', 'relation': 'include', 'object': 'CMX.'}"
102,"{'subject': 'References', 'relation': 'include', 'object': 'Page 10.'}"
103,"{'subject': 'References', 'relation': 'include', 'object': 'abcdeDC Focus.'}"
104,"{'subject': 'References', 'relation': 'include', 'object': 'Page 7.'}"
105,"{'subject': 'References', 'relation': 'include', 'object': 'abZuda Comics.'}"
106,"{'subject': 'References', 'relation': 'include', 'object': 'Page 3.'}"
107,"{'subject': 'References', 'relation': 'include', 'object': 'abcAll-Star DC.'}"
108,"{'subject': 'References', 'relation': 'include', 'object': 'Page 2.'}"
109,"{'subject': 'References', 'relation': 'include', 'object': 'abcMinx.'}"
110,"{'subject': 'References', 'relation': 'include', 'object': 'page 9.'}"
111,"{'subject': 'References', 'relation': 'include', 'object': 'abWildstorm.'}"
112,"{'subject': 'References', 'relation': 'include', 'object': 'Page 1.'}"
113,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefghiPiranha Press.'}"
114,"{'subject': 'References', 'relation': 'include', 'object': 'Page 8.'}"
115,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefghImpact Comics.'}"
116,"{'subject': 'References', 'relation': 'include', 'object': 'Page 6.'}"
117,"{'subject': 'References', 'relation': 'include', 'object': 'abcMilestone.'}"
118,"{'subject': 'References', 'relation': 'include', 'object': 'Page 4.'}"
119,"{'subject': 'References', 'relation': 'include', 'object': 'abcdefgHelix.'}"
120,"{'subject': 'References', 'relation': 'include', 'object': 'Page 5.'}"
121,"{'subject': 'References', 'relation': 'include', 'object': 'CMX.'}"
122,"{'subject': 'References', 'relation': 'include', 'object': 'Page 10.'}"
123,"{'subject': 'References', 'relation': 'include', 'object': 'abcdeDC Focus.'}"
124,"{'subject': 'References', 'relation': 'include', 'object': 'Page 7.'}"
125,"{'subject': 'References', 'relation': 'include', 'object': 'abZuda Comics.'}"
126,"{'subject': 'References', 'relation': 'include', 'object': 'Page 3.'}"
127,"{'subject': 'References', 'relation': 'include', 'object': 'abcAll-Star DC.'}"
128,"{'subject': 'References', 'relation': 'include', 'object': 'Page 2.'}"
129,"{'subject': 'References', 'relation': 'include', 'object': 'abcMinx.'}"
130,"{'subject': 'References', 'relation': 'include', 'object': 'page 9.'}"
131,"{'subject': 'References', 'relation': 'include', 'object': 'abWildstorm.'}"
132,"{'subject': 'References', 'relation': 'include', 'object': 'Page 1.'}"
133,"{'subject': 'Notes', 'relation': 'is with', 'object': 'unusual setlist'}"
134,"{'subject': 'Notes', 'relation': 'include', 'object': 'The product flyer for the Durango 800 series documents a formatted " on-line capacity " of 1.892 MB for the diskette drives.'}"
135,"{'subject': 'Notes', 'relation': 'is about twice large therefore', 'object': 'as physical drive capacity documented in sources'}"
136,"{'subject': 'Notes', 'relation': 'give', 'object': 'parameters'}"
137,"{'subject': 'Notes', 'relation': 'claims', 'object': 'drives'}"
138,"{'subject': 'Notes', 'relation': 'support', 'object': 'list'}"
139,"{'subject': 'Notes', 'relation': 'support', 'object': '240 KB format'}"
140,"{'subject': 'Notes', 'relation': 'include', 'object': 'The product flyer for the Durango 800 series documents a formatted " on-line capacity " of 1.892 MB for the diskette drives.'}"
141,"{'subject': 'Notes', 'relation': 'is about twice large therefore', 'object': 'as physical drive capacity documented in sources'}"
142,"{'subject': 'Notes', 'relation': 'give', 'object': 'parameters'}"
143,"{'subject': 'Notes', 'relation': 'claims', 'object': 'drives'}"
144,"{'subject': 'Notes', 'relation': 'support', 'object': 'list'}"
145,"{'subject': 'Notes', 'relation': 'support', 'object': '240 KB format'}"
146,"{'subject': 'Notes', 'relation': 'include', 'object': 'The product flyer for the Durango 800 series documents a formatted " on-line capacity " of 1.892 MB for the diskette drives.'}"
147,"{'subject': 'Notes', 'relation': 'is about twice large therefore', 'object': 'as physical drive capacity documented in sources'}"
148,"{'subject': 'Notes', 'relation': 'give', 'object': 'parameters'}"
149,"{'subject': 'Notes', 'relation': 'claims', 'object': 'drives'}"
150,"{'subject': 'Notes', 'relation': 'support', 'object': 'list'}"
151,"{'subject': 'Notes', 'relation': 'support', 'object': '240 KB format'}"
152,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Ouverture (In C major.'}"
153,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Courante (In C major.'}"
154,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Metrical sign of 32)'}"
155,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Gavotte I/II (In C major.'}"
156,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Forlane (In C major.'}"
157,"{'subject': 'Meissner.', 'relation': 'is', 'object': '64'}"
158,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Menuet I/II (In C major.'}"
159,"{'subject': 'Meissner.', 'relation': 'is', 'object': '34'}"
160,"{'subject': 'Meissner.', 'relation': 'include', 'object': 'Bourrée I/II (Bourrée I in C major & Bourrée II, the middle section, in C minor.'}"
161,"{'subject': 'Meissner.', 'relation': 'is', 'object': '34'}"
162,"{'subject': 'source', 'relation': 'is', 'object': 'Ouverture (In B minor.'}"
163,"{'subject': 'source', 'relation': 'is', 'object': 'B minor'}"
164,"{'subject': 'source', 'relation': 'is', 'object': 'Sarabande (In B minor.'}"
165,"{'subject': 'source', 'relation': 'is', 'object': 'Bourrée I/II (In B minor.'}"
166,"{'subject': 'source', 'relation': 'is', 'object': 'Polonaise / Double (In B minor.'}"
167,"{'subject': 'source', 'relation': 'is', 'object': 'Menuet (In B minor.'}"
168,"{'subject': 'source', 'relation': 'is', 'object': '34'}"
169,"{'subject': 'source', 'relation': 'is', 'object': 'Badinerie (In B minor.'}"
170,"{'subject': 'source', 'relation': 'is', 'object': '24'}"
171,"{'subject': 'source', 'relation': 'is', 'object': 'Battinerie'}"
172,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'Ouverture (In D major.'}"
173,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'fugal section'}"
174,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'Bourrée I/II (Bourrée I in D major & Bourrée II, the middle section, in B minor.'}"
175,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'Gavotte (In D major.'}"
176,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'Menuet I/II (In D major.'}"
177,"{'subject': 'Bach', 'relation': 'adapting', 'object': '34'}"
178,"{'subject': 'Bach', 'relation': 'adapting', 'object': 'Réjouissance (In D major.'}"
179,"{'subject': 'Bach', 'relation': 'adapting', 'object': '34'}"
180,"{'subject': 'Notes', 'relation': 'confederacy of', 'object': 'states'}"
181,"{'subject': 'Notes', 'relation': 'was proceeding on', 'object': 'part of those'}"
182,"{'subject': 'Notes', 'relation': 'include', 'object': '.'}"
183,"{'subject': 'Notes', 'relation': 'include', 'object': '.'}"
184,"{'subject': 'Notes', 'relation': 'quoting from', 'object': 'Articles of Confederation'}"
185,"{'subject': 'Notes', 'relation': 'were excesses of', 'object': 'American Revolution'}"
186,"{'subject': 'Notes', 'relation': 'expected from', 'object': 'our Tree of Liberty'}"
187,"{'subject': 'Notes', 'relation': "words 's", 'object': 'Ferling'}"
188,"{'subject': 'Notes', 'relation': 'is', 'object': 'breach'}"
189,"{'subject': 'References', 'relation': 'include', 'object': ' UNIVERSITATEA de STAT "Alecu Russo" din Bălţi'}"
190,"{'subject': 'References', 'relation': 'include', 'object': ' UNIVERSITATEA de STAT "Alecu Russo" din Bălţi'}"
191,"{'subject': 'References', 'relation': 'include', 'object': ' UNIVERSITATEA de STAT "Alecu Russo" din Bălţi'}"
192,"{'subject': 'See also', 'relation': 'is with', 'object': 'Trainor'}"
193,"{'subject': 'See also', 'relation': 'include', 'object': ' Bulgaria, Denmark, Germany, Hungary, Ireland, Poland, Scotland, Slovakia, Slovenia, Spain, Switzerland.'}"
194,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
195,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY"'}"
196,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song"'}"
197,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho"'}"
198,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
199,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY" (Original Karaoke)'}"
200,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song" (Original Karaoke)'}"
201,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho" (Original Karaoke)'}"
202,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
203,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
204,"{'subject': 'DVD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (PV & Making of)'}"
205,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
206,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY"'}"
207,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song"'}"
208,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho"'}"
209,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
210,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY" (Original Karaoke)'}"
211,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song" (Original Karaoke)'}"
212,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho" (Original Karaoke)'}"
213,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
214,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
215,"{'subject': 'DVD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (PV & Making of)'}"
216,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
217,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY"'}"
218,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song"'}"
219,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho"'}"
220,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
221,"{'subject': 'CD', 'relation': 'include', 'object': '"FLY" (Original Karaoke)'}"
222,"{'subject': 'CD', 'relation': 'include', 'object': '"Snow Song" (Original Karaoke)'}"
223,"{'subject': 'CD', 'relation': 'include', 'object': '"Futari Kake no Basho" (Original Karaoke)'}"
224,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)"'}"
225,"{'subject': 'CD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (Original Karaoke)'}"
226,"{'subject': 'DVD', 'relation': 'include', 'object': '"Arigatō (Sekai no Doko ni Ite mo)" (PV & Making of)'}"
227,"{'subject': 'References', 'relation': 'include', 'object': 'Stassel, Stephanie (2000-04-03).'}"
228,"{'subject': 'References', 'relation': 'feature', 'object': 'Kinsey Millhone'}"
229,"{'subject': 'References', 'relation': 'include', 'object': 'Los Angeles Times.'}"
230,"{'subject': 'References', 'relation': 'include', 'object': 'p. E1.'}"
231,"{'subject': 'References', 'relation': 'include', 'object': 'abSwift, Harriet (1986-10-15).'}"
232,"{'subject': 'References', 'relation': 'is in', 'object': 'Baltimore'}"
233,"{'subject': 'References', 'relation': 'include', 'object': 'Los Angeles Times.'}"
234,"{'subject': 'References', 'relation': 'include', 'object': 'p. V1.'}"
235,"{'subject': 'References', 'relation': 'include', 'object': 'Stassel, Stephanie (2000-04-03).'}"
236,"{'subject': 'References', 'relation': 'feature', 'object': 'Kinsey Millhone'}"
237,"{'subject': 'References', 'relation': 'include', 'object': 'Los Angeles Times.'}"
238,"{'subject': 'References', 'relation': 'include', 'object': 'p. E1.'}"
239,"{'subject': 'References', 'relation': 'include', 'object': 'abSwift, Harriet (1986-10-15).'}"
240,"{'subject': 'References', 'relation': 'is in', 'object': 'Baltimore'}"
241,"{'subject': 'References', 'relation': 'include', 'object': 'Los Angeles Times.'}"
242,"{'subject': 'References', 'relation': 'include', 'object': 'p. V1.'}"
243,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'striving'}"
244,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'to deficient in character to appropriate entities'}"
245,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'clinically important findings'}"
246,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'constraints of law'}"
247,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'International Labour Office International Classification of Radiographs'}"
248,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'testimony'}"
249,"{'subject': 'NIOSH', 'relation': 'has established Code for', 'object': 'conflicts of interest in outcome of chest radiograph classification'}"
250,"{'subject': 'NIOSH', 'relation': 'has', 'object': 'Reader competency'}"
251,"{'subject': 'NIOSH', 'relation': 'has', 'object': 'Commitment to ethical classification'}"
252,"{'subject': 'additional bonus tracks', 'relation': 'appear on', 'object': 'Son'}"
253,"{'subject': 'additional bonus tracks', 'relation': 'appear on', 'object': '"Breakfast In Mayfair" (Nicol) 3:59'}"
254,"{'subject': 'additional bonus tracks', 'relation': 'appear on', 'object': 'Son'}"
255,"{'subject': 'additional bonus tracks', 'relation': 'appear on', 'object': '"Breakfast In Mayfair" (Nicol) 3:59'}"
256,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcdRemix version'}"
257,"{'subject': 'References', 'relation': 'include', 'object': 'abc"\'Bazooka\' y la disciplina militar" (in Spanish).'}"
258,"{'subject': 'References', 'relation': 'include', 'object': 'Esto.'}"
259,"{'subject': 'References', 'relation': 'include', 'object': '14 May 2014 .'}"
260,"{'subject': 'References', 'relation': 'nacido en', 'object': 'Tlaxco'}"
261,"{'subject': 'References', 'relation': 'enseñó', 'object': 'boxear'}"
262,"{'subject': 'References', 'relation': 'include', 'object': 'Yo entré en 1973.'}"
263,"{'subject': 'References', 'relation': 'ayudó', 'object': 'dar mis primeros golpes'}"
264,"{'subject': 'References', 'relation': 'puso', 'object': 'le gané fácilmente y me dijo usted tiene cualidades'}"
265,"{'subject': 'References', 'relation': 'include', 'object': "Mi primer manager profesional fue Alfredo Cruz Chávez, 'Kid Rapidez', en los Baños Avenida."}"
266,"{'subject': 'Notes', 'relation': 'is refute', 'object': 'claim'}"
267,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcCraft.'}"
268,"{'subject': 'Notes', 'relation': 'include', 'object': 'abSands, p. 635.'}"
269,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcdefgSands, p. 636.'}"
270,"{'subject': 'Notes', 'relation': 'is refute', 'object': 'claim'}"
271,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcCraft.'}"
272,"{'subject': 'Notes', 'relation': 'include', 'object': 'abSands, p. 635.'}"
273,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcdefgSands, p. 636.'}"
274,"{'subject': 'Notes', 'relation': 'is refute', 'object': 'claim'}"
275,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcCraft.'}"
276,"{'subject': 'Notes', 'relation': 'include', 'object': 'abSands, p. 635.'}"
277,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcdefgSands, p. 636.'}"
278,"{'subject': 'Notes', 'relation': 'is refute', 'object': 'claim'}"
279,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcCraft.'}"
280,"{'subject': 'Notes', 'relation': 'include', 'object': 'abSands, p. 635.'}"
281,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcdefgSands, p. 636.'}"
282,"{'subject': 'Notes', 'relation': 'of', 'object': 'ancestral home'}"
283,"{'subject': 'Notes', 'relation': 'robs Lomax of', 'object': 'several touches including questions'}"
284,"{'subject': 'Notes', 'relation': 'include', 'object': 'sic].'}"
285,"{'subject': 'Notes', 'relation': 'has', 'object': 'about Ambiguity'}"
286,"{'subject': 'Explanatory notes', 'relation': 'had', 'object': 'shorter life expectancy'}"
287,"{'subject': 'Explanatory notes', 'relation': 'was taken from', 'object': 'Old Testament'}"
288,"{'subject': 'Explanatory notes', 'relation': 'made comparison', 'object': 'standing'}"
289,"{'subject': 'Explanatory notes', 'relation': 'was deliberate echo of', 'object': 'famous sentence'}"
290,"{'subject': 'Notes', 'relation': 'Is Dead At', 'object': 'Age'}"
291,"{'subject': 'Notes', 'relation': 'include', 'object': 'The Youngstown Telegram.'}"
292,"{'subject': 'Notes', 'relation': 'include', 'object': 'November 30, 1931.'}"
293,"{'subject': 'Notes', 'relation': 'include', 'object': 'abcd"\'Bonesetter\' Reese Gets Gorsedd Honor".'}"
294,"{'subject': 'Notes', 'relation': 'include', 'object': 'The Youngstown Vindicator.'}"
295,"{'subject': 'Notes', 'relation': 'include', 'object': 'June 26, 1926.'}"
296,"{'subject': 'Notes', 'relation': 'Dies At', 'object': 'Age of 76'}"
297,"{'subject': 'Notes', 'relation': 'include', 'object': 'The New York Times.'}"
298,"{'subject': 'Notes', 'relation': 'include', 'object': 'November 30, 1931. p. 17.'}"
299,"{'subject': 'Notes', 'relation': 'include', 'object': 'Strickler (1984), p. 28.'}"
300,"{'subject': 'Notes', 'relation': 'include', 'object': 'Strickler (1984), p. 76.'}"
301,"{'subject': 'Notes', 'relation': 'include', 'object': 'Strickler (1984), p. 99.'}"
302,"{'subject': 'Notes', 'relation': 'include', 'object': '"Gropings".'}"
303,"{'subject': 'Notes', 'relation': 'include', 'object': 'Time.'}"
304,"{'subject': 'Notes', 'relation': 'include', 'object': 'July 12, 1926.'}"
305,"{'subject': 'Notes', 'relation': 'include', 'object': '"John D. (Bonesetter) Reese".'}"
306,"{'subject': 'Notes', 'relation': 'include', 'object': 'The Youngstown Vindicator.'}"
307,"{'subject': 'Notes', 'relation': 'include', 'object': 'January 12, 1930.'}"
